"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 14 03:56:09 UTC 2023","Thu Sep 14 03:56:18 UTC 2023","9295","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Thu Sep 14 02:50:32 UTC 2023","Thu Sep 14 02:50:34 UTC 2023","2751","","6. Company Account","","","","6. Review Review Page",""
"passed","Thu Sep 14 03:48:15 UTC 2023","Thu Sep 14 03:48:20 UTC 2023","4248","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Sep 14 02:50:12 UTC 2023","Thu Sep 14 02:50:18 UTC 2023","6158","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Thu Sep 14 04:07:55 UTC 2023","Thu Sep 14 04:08:04 UTC 2023","8749","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Thu Sep 14 03:13:33 UTC 2023","Thu Sep 14 03:13:34 UTC 2023","716","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Sep 14 03:07:42 UTC 2023","Thu Sep 14 03:07:54 UTC 2023","11355","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Thu Sep 14 04:08:27 UTC 2023","Thu Sep 14 04:08:28 UTC 2023","1591","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Thu Sep 14 02:35:57 UTC 2023","Thu Sep 14 02:35:58 UTC 2023","762","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Sep 14 04:07:54 UTC 2023","Thu Sep 14 04:07:55 UTC 2023","1171","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Sep 14 02:21:30 UTC 2023","Thu Sep 14 02:21:33 UTC 2023","3134","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
